ModelFile;PositionX;PositionY;PositionZ;RotationX;RotationY;RotationZ;ScaleFactor;ModelId;Type
..\..\world\azeroth\swamposorrow\passivedoodads\trees\swampsorrowcanopytree01.obj;10174.462890625;20.112199783325195;18711.337890625;0;212.1854248046875;0;1.462890625;540271;m2
..\..\world\azeroth\swamposorrow\passivedoodads\trees\swampsorrowcanopytree01.obj;10246.658203125;23.666921615600586;19161.57421875;0;345.1460266113281;0;1.560546875;540569;m2
..\..\world\azeroth\swamposorrow\passivedoodads\trees\swampsorrowcanopytree01.obj;10256.693359375;19.77568244934082;18916.75390625;0;173.11685180664062;0;1.5859375;540426;m2
..\..\world\azeroth\swamposorrow\passivedoodads\trees\swampsorrowcanopytree02.obj;10239.3046875;24.624446868896484;19120.802734375;0;131.25767517089844;0;1.3955078125;540554;m2
..\..\world\azeroth\swamposorrow\passivedoodads\trees\swampsorrowcanopytree02.obj;10218.8232421875;20.897480010986328;18743.802734375;0;189.6627655029297;0;1.6162109375;540298;m2
..\..\world\azeroth\swamposorrow\passivedoodads\trees\swampsorrowcanopytree02.obj;10255.27734375;21.515878677368164;19029.59765625;0;55.70238494873047;0;1.328125;540490;m2
..\..\world\azeroth\swamposorrow\passivedoodads\trees\swampsorrowcanopytree02.obj;10191.0869140625;21.836721420288086;19181.01171875;0;142.0189971923828;0;1.279296875;540581;m2
..\..\world\azeroth\swamposorrow\passivedoodads\trees\swampsorrowcanopytree02.obj;10187.138671875;22.253931045532227;18904.0859375;0;321.60162353515625;0;1.275390625;540393;m2
..\..\world\azeroth\swamposorrow\passivedoodads\trees\swampsorrowcanopytree01.obj;10152.837890625;22.04777717590332;18884.63671875;0;179.58799743652344;0;1.498046875;540361;m2
..\..\world\azeroth\swamposorrow\passivedoodads\trees\swampsorrowcanopytree01.obj;10212.9033203125;21.08135414123535;18930.5390625;0;253.25357055664062;0;1.228515625;540406;m2
..\..\world\azeroth\swamposorrow\passivedoodads\trees\swampsorrowcanopytree02.obj;10156.841796875;21.132001876831055;18766.4453125;0;310.6479187011719;0;1.2080078125;540287;m2
..\..\world\azeroth\swamposorrow\passivedoodads\trees\swampsorrowcanopytree01.obj;10171.017578125;21.78611183166504;19021.21875;0;225.2705535888672;0;1.0986328125;540475;m2
..\..\world\azeroth\swamposorrow\passivedoodads\trees\swampsorrowcanopytree01.obj;10158.8349609375;20.820640563964844;19115.25390625;0;232.36793518066406;0;1.0986328125;540528;m2
..\..\world\azeroth\swamposorrow\passivedoodads\trees\swampsorrowcanopytree01.obj;10223.6796875;21.479333877563477;18995.34375;0;338.15850830078125;0;1.1455078125;540465;m2
..\..\world\azeroth\swamposorrow\passivedoodads\trees\swampsorrowcanopytree02.obj;10261.8056640625;21.882537841796875;18869.162109375;0;235.35630798339844;0;1.1640625;540387;m2
..\..\world\azeroth\swamposorrow\passivedoodads\trees\swampsorrowcanopytree02.obj;10099.09375;21.69266700744629;19135.59765625;0;77.06561279296875;0;1.3037109375;540167;m2
..\..\world\azeroth\swamposorrow\passivedoodads\trees\swampsorrowcanopytree02.obj;10104.9013671875;21.547452926635742;18849.783203125;0;160.2294921875;0;1.2265625;538937;m2
..\..\world\azeroth\swamposorrow\passivedoodads\trees\swampsorrowcanopytree01.obj;10177.2373046875;21.642133712768555;18727.49609375;0;149.10000610351562;0;1.0185546875;540272;m2
..\..\world\azeroth\swamposorrow\passivedoodads\trees\swampsorrowcanopytree01.obj;10232.9423828125;21.822546005249023;18802.685546875;0;184.67481994628906;0;1.2392578125;540333;m2
..\..\world\azeroth\swamposorrow\passivedoodads\trees\swampsorrowcanopytree02.obj;10124.48046875;21.70072364807129;19050.640625;0;96.298095703125;0;1.3017578125;539873;m2
..\..\world\azeroth\swamposorrow\passivedoodads\trees\swampsorrowcanopytree01.obj;10165.5595703125;24.496423721313477;18963.912109375;0;159.59226989746094;0;1.046875;540441;m2
..\..\world\azeroth\swamposorrow\passivedoodads\trees\swampsorrowcanopytree02.obj;10138.7626953125;25.516136169433594;18944.33203125;0;198.18841552734375;0;1.060546875;540440;m2
..\..\world\azeroth\swamposorrow\passivedoodads\trees\swampsorrowcanopytree02.obj;10227.0625;23.142120361328125;19132.421875;0;142.18939208984375;0;0.9375;540546;m2
..\..\world\azeroth\swamposorrow\passivedoodads\trees\swampsorrowcanopytree01.obj;10232.19921875;22.11495590209961;19073.4296875;0;193.14553833007812;0;0.947265625;540516;m2
..\..\world\azeroth\swamposorrow\passivedoodads\trees\swampsorrowcanopytree01.obj;10248.7421875;23.322607040405273;19045.30078125;0;139.19003295898438;0;0.763671875;540505;m2
..\..\world\azeroth\swamposorrow\passivedoodads\trees\swampsorrowcanopytree01.obj;10106.8759765625;22.439464569091797;18864.599609375;0;6.01025390625;0;0.8466796875;538938;m2
..\..\world\azeroth\swamposorrow\passivedoodads\trees\swampsorrowcanopytree02.obj;10140.853515625;21.395044326782227;19117.533203125;0;278.34710693359375;0;0.8623046875;540529;m2
..\..\world\azeroth\swamposorrow\passivedoodads\trees\swampsorrowcanopytree02.obj;10108.431640625;21.62433433532715;18769.890625;0;289.55352783203125;0;0.7734375;538546;m2
..\..\world\azeroth\swamposorrow\passivedoodads\trees\swampsorrowcanopytree01.obj;10103.9931640625;22.865877151489258;18909.708984375;0;68.4908447265625;0;0.6875;539343;m2
..\..\world\azeroth\swamposorrow\passivedoodads\vines\swamphangingvines01.obj;10204.201171875;27.439109802246094;18852.11328125;0;-133.0619659423828;0;1.7109375;540348;m2
..\..\world\azeroth\swamposorrow\passivedoodads\trees\swampsorrowcanopytree01.obj;10258.642578125;21.703981399536133;18852.435546875;0;180.7471923828125;0;0.7685546875;540356;m2
..\..\world\azeroth\swamposorrow\passivedoodads\trees\swampsorrowcanopytree03.obj;10156.1220703125;17.44309425354004;18825.837890625;0;159.45236206054688;0;1.244140625;540315;m2
..\..\world\azeroth\swamposorrow\passivedoodads\trees\swampsorrowcanopytree04.obj;10232.0791015625;17.85288429260254;18861.0703125;0;112.49244689941406;0;1.228515625;540351;m2
..\..\world\azeroth\swamposorrow\passivedoodads\trees\swampsorrowcanopytree02.obj;10175.072265625;21.31355857849121;19008.916015625;0;357.83563232421875;0;0.7412109375;540476;m2
..\..\world\azeroth\swamposorrow\passivedoodads\trees\swampsorrowcanopytree03.obj;10201.58984375;17.53187370300293;19086.34375;0;241.5747528076172;0;1.16796875;540520;m2
..\..\world\azeroth\swamposorrow\passivedoodads\trees\swampsorrowcanopytree04.obj;10120.9560546875;17.83721923828125;19072.9609375;0;30.10345458984375;0;1.1748046875;539983;m2
..\..\world\azeroth\swamposorrow\passivedoodads\trees\swampsorrowcanopytree05.obj;10232.890625;19.751379013061523;18711.455078125;0;17.82036781311035;0;1.169921875;540280;m2
..\..\world\azeroth\swamposorrow\passivedoodads\trees\swampsorrowcanopytree04.obj;10201.0791015625;17.560026168823242;19046.294921875;0;169.01882934570312;0;1.1416015625;540502;m2
..\..\world\azeroth\swamposorrow\passivedoodads\vines\swamphangingvines01.obj;10222.234375;30.598526000976562;18880.529296875;0;201.8957977294922;0;1.1298828125;540381;m2
..\..\world\azeroth\swamposorrow\passivedoodads\trees\swampsorrowcanopytree05.obj;10188.94140625;21.10028839111328;18928.470703125;0;116.02523803710938;0;1.1591796875;540394;m2
..\..\world\azeroth\swamposorrow\passivedoodads\vines\swamphangingvines01.obj;10138.5263671875;29.180286407470703;19014.611328125;0;360.2709045410156;0;1.0361328125;540474;m2
..\..\world\azeroth\swamposorrow\passivedoodads\trees\swampsorrowtree01.obj;10263.4921875;21.053483963012695;18727.46484375;0;167.07957458496094;0;1.5625;540284;m2
..\..\world\azeroth\swamposorrow\passivedoodads\trees\swampsorrowcanopytree06.obj;10248.46875;20.646442413330078;18814.255859375;0;361.4162902832031;0;1.1279296875;540339;m2
..\..\world\azeroth\swamposorrow\passivedoodads\vines\swamphangingvines01.obj;10221.6328125;29.354135513305664;19175.349609375;0;193.8649444580078;0;0.9912109375;540592;m2
..\..\world\azeroth\swamposorrow\passivedoodads\trees\swampsorrowcanopytree06.obj;10139.0146484375;22.36256217956543;18735.794921875;0;43.935665130615234;0;0.994140625;540288;m2
..\..\world\azeroth\swamposorrow\passivedoodads\trees\swampsorrowcanopytree05.obj;10251.1318359375;21.165578842163086;18893.84765625;0;130.6094512939453;0;0.9921875;540388;m2
..\..\world\azeroth\swamposorrow\passivedoodads\trees\swampsorrowcanopytree05.obj;10173.1513671875;20.493602752685547;19190.236328125;0;28.854442596435547;0;0.984375;540585;m2
..\..\world\azeroth\swamposorrow\passivedoodads\trees\swampsorrowcanopytree06.obj;10234.2109375;20.699655532836914;19181.572265625;0;302.8978576660156;0;0.9765625;540596;m2
..\..\world\azeroth\swamposorrow\passivedoodads\vines\swamphangingvines01.obj;10129.88671875;26.405494689941406;18862.068359375;0;318.4080810546875;0;1.154296875;538943;m2
..\..\world\azeroth\swamposorrow\passivedoodads\vines\swamphangingvines01.obj;10201.1728515625;23.839752197265625;19067.052734375;0;270.6086120605469;0;0.8173828125;540521;m2
